Variant,Name,Slot,Quality,Weapon Type,Base Damage,Mag Size,RPM,Reload Speed (ms),Optimal Range,Core 1,Core 1 Max,Core 2,Core 2 Max,Attribute 1,Talent,Optics,Under Barrel,Magazine,Muzzle,HSD
SIG 716,Artist's Tool,P,Named,Rifle,91673,20,320,2400,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Rifleman,Short / Long,Side / Short,7.62,,60
SPAS-12,Lullaby,P,Exotic,Shotgun,582944,8,70,5450,10,Shotgun Damage,15,Damage to Armor,12,Damage to TOC,Sandman,Lullaby,Lullaby,Lullaby,Lullaby,45
SPAS-12,Sweet Dreams,P,Exotic,Shotgun,582944,8,70,5450,10,Shotgun Damage,15,Damage to Armor,12,Damage to TOC,Sandman,Sweet Dreams,Sweet Dreams,Sweet Dreams,Sweet Dreams,45
AA-12,ACS-12,P,High End,Shotgun,169240,20,300,2300,14,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Short,Side / Short / Long,,,45
Double Barrel,Double Barrel Shotgun,P,High End,Shotgun,620552,2,200,2200,11,Shotgun Damage,15,Damage to Armor,12,A,A,,,,,45
Double Barrel,Double Barrel Shotgun Replica,P,High End,Shotgun,620552,2,200,2200,11,Shotgun Damage,15,Damage to Armor,12,A,A,,,,,45
Double Barrel,Double Barrel Sawed Off,S,High End,Shotgun,620552,2,200,2200,11,Shotgun Damage,15,Damage to Armor,12,A,A,,,,,45
Double Barrel,Firestarter,P,Named,Shotgun,182952,2,200,2200,11,Shotgun Damage,11,Damage to Health,7.5,,Primer Rounds,,,,,45
M870,Custom M870 MCS,P,High End,Shotgun,564144,5,75,3700,14,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
M870,Custom M870 MCS Replica,P,High End,Shotgun,564144,5,75,3700,14,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
M870,M870 Express,P,High End,Shotgun,564144,5,75,3700,14,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
M870,M870 Express Replica,P,High End,Shotgun,564144,5,75,3700,14,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
M870,Military M870,P,High End,Shotgun,564144,5,75,3700,14,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Short,Side / Short / Long,Tubular,,45
KSG,KSG Shotgun,P,High End,Shotgun,545336,12,70,8050,16,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Short,Side / Short / Long,Tubular,,45
SASG-12,Black Market SASG-12 S,P,High End,Shotgun,300872,7,180,3000,14,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,,,45
SASG-12,Black Market SASG-12 S Replica,P,High End,Shotgun,300872,7,180,3000,14,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,,,45
SASG-12,SASG-12,P,High End,Shotgun,300872,7,180,3000,14,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Short,Side / Short / Long,,,45
SASG-12,Tactical SASG-12 K,P,High End,Shotgun,300872,7,180,3000,14,Shotgun Damage,15,Damage to Armor,12,A,A,Micro / Short,Side / Short / Long,,,45
SPAS-12,SPAS-12,P,High End,Shotgun,545336,8,70,5450,16,Shotgun Damage,15,Damage to Armor,12,A,A,,,Tubular,,45
SPAS-12,SPAS-12 Replica,P,High End,Shotgun,545336,8,70,5450,16,Shotgun Damage,15,Damage to Armor,12,A,A,,,Tubular,,45
Super 90,Marine Super 90,P,High End,Shotgun,357288,8,160,4800,16,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
Super 90,Super 90,P,High End,Shotgun,357288,8,160,4800,16,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
Super 90,Super 90 Replica,P,High End,Shotgun,357288,8,160,4800,16,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
Super 90,Tactical Super 90 SBS,P,High End,Shotgun,357288,8,160,4800,16,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
Super 90,Tactical Super 90 SBS Replica,P,High End,Shotgun,357288,8,160,4800,16,Shotgun Damage,15,Damage to Armor,12,A,A,Short / Long,Side / Short / Long,Tubular,,45
AA-12,Rock n' Roll,P,Named,Shotgun,169240,20,300,2300,14,Shotgun Damage,15,Damage to Armor,12,A,Perfectly Extra,Micro / Short,Side / Short / Long,,,45
Double Barrel,Boomstick,P,Named,Shotgun,620552,2,200,2200,11,Shotgun Damage,15,Damage to Armor,12,A,Perfect Pumped Up,,,,,45
Double Barrel,Backup Boomstick,S,Named,Shotgun,620552,2,200,2200,11,Shotgun Damage,16,Damage to Armor,12,A,A,,,,,45
M870,Cuélebre,P,Named,Shotgun,564144,5,75,3700,14,Shotgun Damage,15,Damage to Armor,12,A,Perfect Jazz Hands,Micro / Short,Side / Short / Long,Tubular,,45
KSG,The Send-Off,P,Named,Shotgun,545336,12,70,8050,16,Shotgun Damage,15,Damage to Armor,12,A,Perfect Distance,Micro / Short,Side / Short / Long,Tubular,,45
SASG-12,Tsunami,P,Named,Shotgun,300872,7,180,3000,14,Shotgun Damage,15,Damage to Armor,12,A,Perfect Pummel,Micro / Short,Side / Short / Long,,,45
Super 90,Enforcer,P,Named,Shotgun,357288,8,160,4800,16,Shotgun Damage,15,Damage to Armor,12,A,Perfect Pummel,Micro / Short,Side / Short / Long,Tubular,,45
CMGG,Lady Death,P,Exotic,SMG,34788,32,900,2100,26,SMG Damage,15,Critical Hit Chance,21,Damage to Armor,Breathe Free,Lady Death,Lady Death,Lady Death,Lady Death,50
P90,The Chatterbox,P,Exotic,SMG,36669,60,700,1700,25,SMG Damage,15,Critical Hit Chance,21,Headshot Damage,Incessant Chatter,The Chatterbox,The Chatterbox,The Chatterbox,The Chatterbox,50
AUG,AUG A3 Para XS,P,High End,SMG,51713,25,725,2100,18,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short / Long,9mm,9mm,50
AUG,Enhanced AUG A3P,P,High End,SMG,51713,25,725,2100,18,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short / Long,9mm,9mm,50
AUG,Tactical AUG A3P,P,High End,SMG,51713,25,725,2100,18,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short,9mm,9mm,50
AUG,Tactical AUG A3P Replica,P,High End,SMG,51713,25,725,2100,18,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short,9mm,9mm,50
CMMG,CMMG Banshee,P,High End,SMG,44661,32,900,2100,16,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,Side / Short,9mm,9mm,50
MP5,MP5 ST,P,High End,SMG,47012,32,800,2100,16,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short / Long,9mm,9mm,50
MP5,MP5 ST Replica,P,High End,SMG,47012,32,800,2100,16,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short / Long,9mm,9mm,50
MP5,MP5-N,P,High End,SMG,47012,32,800,2100,16,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,Side / Short / Long,9mm,9mm,50
MP5,MP5A2,P,High End,SMG,47012,32,800,2100,16,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,Side / Short,9mm,9mm,50
MP7,MP7,P,High End,SMG,37609,40,950,2000,19,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,Side / Short,,5.56,50
MPX,MPX,P,High End,SMG,45131,30,850,2300,22,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,Side / Short,9mm,9mm,50
P90,P90,P,High End,SMG,42310,50,900,2200,15,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,,,5.56,50
P90,P90 Replica,P,High End,SMG,42310,50,900,2200,15,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,,,5.56,50
PP-19,Enhanced PP-19,P,High End,SMG,46071,53,700,2500,16,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,,,9mm,50
PP-19,PP-19,P,High End,SMG,46071,53,700,2500,16,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,,,9mm,50
SMG-9,Converted SMG-9,P,High End,SMG,44661,32,825,2000,20,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,,9mm,9mm,50
SMG-9,Converted SMG-9 A2,P,High End,SMG,44661,32,825,2000,20,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,Side / Short,9mm,9mm,50
SMG-9,Converted SMG-9 Replica,P,High End,SMG,44661,32,825,2000,20,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,,9mm,9mm,50
T821,Black Market T821,P,High End,SMG,57824,32,550,1900,17,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,Side / Short,9mm,9mm,50
T821,Black Market T821 Replica,P,High End,SMG,57824,32,550,1900,17,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,Side / Short,9mm,9mm,50
T821,Police T821,P,High End,SMG,57824,32,550,1900,17,SMG Damage,15,Critical Hit Chance,21,A,A,Micro / Short,Side / Short,9mm,9mm,50
Thompson,M1928,P,High End,SMG,58765,30,600,2300,16,SMG Damage,15,Critical Hit Chance,21,A,A,,,.45 ACP,,50
Thompson,Tommy Gun,P,High End,SMG,39960,50,800,2300,16,SMG Damage,15,Critical Hit Chance,21,A,A,,,,,50
UMP-45,Police UMP-45,P,High End,SMG,58765,30,600,2300,14,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,Side / Short / Long,.45 ACP,.45 ACP,50
UMP-45,Tactical UMP-45,P,High End,SMG,58765,30,600,2300,14,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,Side / Short / Long,.45 ACP,.45 ACP,50
UMP-45,Tactical UMP-45 Replica,P,High End,SMG,58765,30,600,2300,14,SMG Damage,15,Critical Hit Chance,21,A,A,Short / Long,Side / Short / Long,.45 ACP,.45 ACP,50
Vector,Tactical Vector SBR 9mm,P,High End,SMG,39960,19,1200,1900,15,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short,9mm,9mm,50
Vector,Vector SBR .45 ACP,P,High End,SMG,35259,25,1200,1900,15,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,50
Vector,Vector SBR .45 ACP Replica,P,High End,SMG,35259,25,1200,1900,15,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,50
Vector,Vector SBR 9mm,P,High End,SMG,32908,33,1200,1900,15,SMG Damage,15,Critical Hit Chance,21,A,A,Ironsights / Short / Long,Side / Short,9mm,9mm,50
CMMG,The Grudge,P,Named,SMG,44661,32,900,2100,16,SMG Damage,15,Critical Hit Chance,21,A,Perfect Vindictive,Micro / Short,Side / Short,9mm,9mm,50
MP7,Swap Chain,P,Named,SMG,37609,40,950,2000,19,SMG Damage,15,Critical Hit Chance,21,A,Perfect Unwavering,Short / Long,Side / Short,,,50
MPX,Safety Distance,P,Named,SMG,45131,30,850,2300,22,SMG Damage,15,Critical Hit Chance,21,A,Perfect Outsider,Short / Long,Side / Short,9mm,9mm,50
MPX,The Apartment,P,Named,SMG,45131,30,850,2300,22,SMG Damage,15,Critical Hit Chance,21,A,Perfectly Measured,Short / Long,Side / Short,9mm,9mm,50
P90,Emeline's Guard,P,Named,SMG,42310,50,900,2200,15,SMG Damage,15,Critical Hit Chance,21,A,Perfect Preservation,Micro / Short,,,5.56,50
PP-19,Cold Relations,P,Named,SMG,46071,53,700,2500,16,SMG Damage,15,Critical Hit Chance,21,A,Perfect Strained,Short / Long,,,9mm,50
Thompson,The Sleigher,P,Named,SMG,84621,50,250,2300,16,SMG Damage,15,Critical Hit Chance,21,A,Hidden Rock,,,,,50
Vector,Dark Winter,P,Named,SMG,35259,25,1200,1900,15,SMG Damage,15,Critical Hit Chance,21,A,Perfect Killer,Ironsights / Short / Long,Side / Short / Long,.45 ACP,.45 ACP,50
